intent,text,entity
jadwal_hari_ini,Apa saja jadwal kuliah hari ini?,
jadwal_hari_ini,Hari ini kuliah apa saja?,
jadwal_hari_ini,Kelas apa hari ini?,
jadwal_hari_ini,Ada mata kuliah apa hari ini?,
jadwal_hari_ini,Siapa dosennya hari ini dan kuliah jam berapa?,
jadwal_hari_tertentu,Jadwal kuliah hari Senin apa saja?,hari=Senin
jadwal_hari_tertentu,Kuliah di hari Senin ada apa aja?,hari=Senin
jadwal_hari_tertentu,Hari Senin ada kelas apa?,hari=Senin
jadwal_hari_tertentu,Apa jadwal kuliah di hari Senin?,hari=Senin
jadwal_hari_tertentu,Jadwal hari Senin itu apa saja?,hari=Senin
jadwal_hari_tertentu,Jadwal kuliah hari Selasa apa saja?,hari=Selasa
jadwal_hari_tertentu,Kuliah di hari Selasa ada apa aja?,hari=Selasa
jadwal_hari_tertentu,Hari Selasa ada kelas apa?,hari=Selasa
jadwal_hari_tertentu,Apa jadwal kuliah di hari Selasa?,hari=Selasa
jadwal_hari_tertentu,Jadwal hari Selasa itu apa saja?,hari=Selasa
jadwal_hari_tertentu,Jadwal kuliah hari Rabu apa saja?,hari=Rabu
jadwal_hari_tertentu,Kuliah di hari Rabu ada apa aja?,hari=Rabu
jadwal_hari_tertentu,Hari Rabu ada kelas apa?,hari=Rabu
jadwal_hari_tertentu,Apa jadwal kuliah di hari Rabu?,hari=Rabu
jadwal_hari_tertentu,Jadwal hari Rabu itu apa saja?,hari=Rabu
jadwal_hari_tertentu,Jadwal kuliah hari Kamis apa saja?,hari=Kamis
jadwal_hari_tertentu,Kuliah di hari Kamis ada apa aja?,hari=Kamis
jadwal_hari_tertentu,Hari Kamis ada kelas apa?,hari=Kamis
jadwal_hari_tertentu,Apa jadwal kuliah di hari Kamis?,hari=Kamis
jadwal_hari_tertentu,Jadwal hari Kamis itu apa saja?,hari=Kamis
jadwal_hari_tertentu,Jadwal kuliah hari Jumat apa saja?,hari=Jumat
jadwal_hari_tertentu,Kuliah di hari Jumat ada apa aja?,hari=Jumat
jadwal_hari_tertentu,Hari Jumat ada kelas apa?,hari=Jumat
jadwal_hari_tertentu,Apa jadwal kuliah di hari Jumat?,hari=Jumat
jadwal_hari_tertentu,Jadwal hari Jumat itu apa saja?,hari=Jumat
jadwal_hari_tertentu,Jadwal kuliah hari Sabtu apa saja?,hari=Sabtu
jadwal_hari_tertentu,Kuliah di hari Sabtu ada apa aja?,hari=Sabtu
jadwal_hari_tertentu,Hari Sabtu ada kelas apa?,hari=Sabtu
jadwal_hari_tertentu,Apa jadwal kuliah di hari Sabtu?,hari=Sabtu
jadwal_hari_tertentu,Jadwal hari Sabtu itu apa saja?,hari=Sabtu
jadwal_hari_tertentu,Jadwal kuliah hari Minggu apa saja?,hari=Minggu
jadwal_hari_tertentu,Kuliah di hari Minggu ada apa aja?,hari=Minggu
jadwal_hari_tertentu,Hari Minggu ada kelas apa?,hari=Minggu
jadwal_hari_tertentu,Apa jadwal kuliah di hari Minggu?,hari=Minggu
jadwal_hari_tertentu,Jadwal hari Minggu itu apa saja?,hari=Minggu
mata_kuliah_semester_tipe,Apa saja mata kuliah di semester ganjil?,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Daftar kuliah untuk semester ganjil apa aja?,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Semester ganjil itu mata kuliahnya apa saja?,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Saya ingin tahu mata kuliah semester ganjil,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Tampilkan kuliah yang diajarkan di semester ganjil,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Apa kuliah yang ditawarkan di semester ganjil?,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Ada berapa mata kuliah di semester ganjil?,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Mahasiswa semester ganjil dapat mata kuliah apa aja?,semester_tipe=Ganjil
mata_kuliah_semester_tipe,Apa saja mata kuliah di semester genap?,semester_tipe=Genap
mata_kuliah_semester_tipe,Daftar kuliah untuk semester genap apa aja?,semester_tipe=Genap
mata_kuliah_semester_tipe,Semester genap itu mata kuliahnya apa saja?,semester_tipe=Genap
